authors,comments,cover,isbn,pubdate,publisher,rating,series,series_index,tags,title,id
Siba Shakib & Maria Nóvoa,"One woman’s harrowing story about life under the Taliban regime in Afghanistan. 
Shirin-Gol was just a young girl when her village was levelled by the Russians in 1979. When the men in her family joined the resistance, she fled with the other women and children to Kabul, and so began a life of day-to-day struggle in her war-torn country. 
A life that included a Pakistani refugee camp, a forced marriage to pay off her brother’s gambling debts, selling her body and begging for money to feed her growing family, an attempted suicide and an unsuccessful attempt to leave Afghanistan for Iran after the Taliban seized control of her country. 
This is the story of the fate of many women in Afghanistan. But it is also a story of a courageous and proud woman who refused to be banished to a life behind the walls of her house, who wanted an education for her children so that they could have a chance to live their lives without fear and poverty.
",C:\Users\Joao\Calibre Library\Siba Shakib\Deus veio ao Afeganistao e chorou_ (1709)\cover.jpg,9789724227818,2002-02-15T12:37:56+00:00,Circulo de Leitores,4,,1.0,"Biography, Autores Estrangeiros",Deus veio ao Afeganistão e chorou: a história de Shirin-Gol,1709
Sharon Dogar,"""Uma reconstituição delicada, serena e escrupulosa."" The Guardian ""Estou com medo. Com medo de poder cair e não conseguir parar. Com medo de nunca vir a fazer amor com uma rapariga. Com medo de ser cobarde. Com medo de estarmos encurralados. Com medo de podermos ser apanhados. Com medo de que seja o meu fantasma que ali está parado, à minha espera ao fundo das escadas. Que seja só isto - tudo o que resta da minha vida."" Peter van Pels e a família estão escondidos com os Franks, e Peter vê tudo com um olhar diferente. Como será ser-se obrigado a viver com Anne Frank? Odiá-la e depois dar por si apaixonado por ela? Saber que é tema do seu diário dia após dia? Como será ficar sentado à espera, olhar por uma janela enquanto outros morrem e desejar estar a combater? O diário de Anne termina a 4 de Agosto de 1944, mas, nesta história imaginada, a experiência de Peter continua para além da traição e chega aos campos de extermínio nazis. ""Está aí alguém?"", pergunta ele. ""Está alguém a ouvir?"" Nós devíamos estar.",C:\Users\Joao\Calibre Library\Sharon Dogar\No Anexo (1710)\cover.jpg,9789895579952,2012-03-05T13:14:50+00:00,Leya,4,,1.0,"Fiction, Contemporary, Young Adult, Fantasy",No Anexo,1710
Sérgio Godinho,"(DN Contos Digitais #31) 
E um dia o carrasco foi executado. A noite anterior foi de tormentos e de luz intensa. Nada estava ainda preparado para o golpe final, e já não era ele que o teria que preparar. Técnica. Não se sabe. Parece que houve um momento em que se apercebeu de tudo o que não tinha sido. É esse o momento em que se é outra pessoa. E deu-se conta das notas soltas da sua cabeça ainda intacta, muito embora as não tivesse sequer, nunca na vida, formulado. Parece.
",C:\Users\Joao\Calibre Library\Sergio Godinho\Notas Soltas da Corda e do Carrasco (1711)\cover.jpg,9789898507358,2013-01-30T00:00:00+00:00,Diário de Notícias,3,Contos Digitais DN,31.0,"Contos, Literatura portuguesa, Autores Portugueses",Notas Soltas da Corda e do Carrasco,1711
Sebastian Barry,"Depois de se alistar no exército norte-americano nos anos 50 do século XIX, apenas com dezassete anos, Thomas McNulty e o seu companheiro de armas John Cole lutam nas guerras índias e na guerra civil. Tendo os dois deixado para trás terríveis agruras, os seus dias são agora cheios de vida e de espanto, apesar dos horrores que os dois presenciaram e em que participaram. Mas quando uma menina índia aparece no seu caminho, Thomas e John têm de decidir qual a melhor vida para todos face aos terríveis perigos que enfrentam.
",C:\Users\Joao\Calibre Library\Sebastian Barry\Dias sem Fim (1712)\cover.jpg,9789722532938,2016-10-20T00:00:00+01:00,Bertrand Editora,4,,1.0,"War, Autores Estrangeiros",Dias sem Fim,1712
Sasha Marianna Salzmann,"Desde sempre que os gémeos Alissa e Anton formam um par. No velho apartamento de duas assoalhadas de Moscovo não têm outro remédio senão agarrar-se um ao outro durante as cenas de violência entre pai e mãe. Mais tarde, à espera da autorização de residência na Alemanha Ocidental, percorrem juntos os corredores do lar de refugiados, entrando em quartos alheios para roubar cigarros e cheirar frascos de perfume. Ainda mais tarde, quando Alissa abandona o curso de Matemática em Berlim por sentir que isso a distrai dos treinos de boxe, Anton desaparece sem deixar rasto. Até que chega um postal de Istambul – sem texto e sem remetente ou morada –, mas é o sinal de que Áli precisa para ir em busca do irmão. É já na cidade banhada pelo Bósforo que a rapariga evocará a história da sua família ao longo de um século e descobrirá que, quanto mais investe na procura de Anton, menos sentido as coisas parecem fazer – a língua materna, a pátria, o género – e talvez só consiga um todo coerente se sair para fora de si. O presente romance – intenso, ousado e político – foi nomeado em 2017 para o Prémio do Livro Alemão (nomeação raríssima numa obra de estreia), venceu o Prémio Jürgen Ponto e foi traduzido em mais de uma dúzia de línguas.",C:\Users\Joao\Calibre Library\Sasha Marianna Salzmann\Fora de Si (1713)\cover.jpg,9789722065160,2018-05-03T13:47:50+01:00,Leya,3,,1.0,"Fiction, Contemporary, General, Autores Estrangeiros, Romance",Fora de Si,1713
Saul Bellow,"Este primeiro volume reúne cinco contos e novelas de Saul Bellow, que fazem parte de uma antoloia escolhida pelo próprio autor.  
Estão marcados por uma ironia, experiência de vida e humor únicos e, no seu conjunto, revelam-nos num mundo infinitamente variado e surpreendente. 
»No caso de Bellow, ""grande"" significa grande pela sua abundância, pela sua exactidão, pela sua variedade, pela sua riqueza e pela sua força. Significa uma prosa que regista toda a alegria da vida - a alegre liberdade transbordante dos seus períodos ousados e arriscados. Estes traços estão tão plenamente presentes nas ficções mais breves de Bellow como nos seus romances. Cada uma das páginas desta antologia contém uma prosa de raízes insignes, mobilizando uma rica herança (os ritmos de Melville e de Whiteman, de Lawrence e de Joyce, e, a montante destes, de Shakespeare).» 
Da Introdução de James Wood. 
As histórias incluídas são:  
\- 'A Bandeja de Prata'  
\- 'A Organização Bellarosa'  
\- 'O Velho Sistema'  
\- 'À Procura de Mr. Green'  
\- 'Primos'
",C:\Users\Joao\Calibre Library\Saul Bellow\Contos e Novelas I (1714)\cover.jpg,9789896414771,2001-01-01T00:00:00+00:00,Relógio D'Água,4,Contos e Novelas,1.0,,Contos e Novelas I,1714
Scott Mariani & Debora Da Silva Guimaraes Isidoro,"Especialista em resgate de vítimas de sequestros, Ben Hope encontra pessoas de forma rápida, discreta e eficiente. Mas, quando um empresário milionário o contrata para uma missão diferente de todas as outras, Hope se vê em uma situação que mudará sua vida - ou acabará com ela. Não se trata de achar uma pessoa, mas um objeto - um manuscrito antigo escrito por Fulcanelli, um homem que muitos dizem ter sido um gênio da alquimia. No documento, pode haver uma fórmula capaz de salvar a vida da neta do empresário, uma criança que sofre de uma grave doença. Tocado pela história, que o faz lembrar seu passado trágico, Hope vai para a França começar as buscas. Lá, ele percebe que não é o único procurando o tesouro. Que interesse um obscuro grupo religioso pode ter em Fulcanelli e na alquimia, que sempre foi condenada pela Igreja? Como uma cientista brilhante e desacreditada pode ajudar Hope a encontrar esse objeto? Por que o manuscrito já foi alvo da cobiça até dos nazistas? Ben Hope tem dezenas de perguntas, cujas respostas, se forem descobertas, podem transformar a vida de milhares de pessoas. Scott Mariani une religião com História para criar uma trama dinâmica e viciante, em que não há lugar para clichês. O segredo do alquimista, livro que apresenta o personagem Ben Hope, prende o leitor da primeira até a última página.","C:\Users\Joao\Calibre Library\Scott Mariani\BEN HOPE, V.1 - O SEGREDO DO ALQUIM (1715)\cover.jpg",9788539506262,2014-05-16T14:30:19+01:00,FUNDAMENTO,3,Ben Hope,1.0,"Adventure, Mystery, Thriller","BEN HOPE, V.1 - O SEGREDO DO ALQUIMISTA",1715
Sarah Sundin,"Quando o marido morre na guerra do Pacífico, Helen Carlisle oferece-se como voluntária para o esforço de guerra, a fim de ocultar os seus sentimentos. No entanto, manter a aparência de viúva inconsolável de um herói local está a deixar a sua marca. Em breve algo irá ceder. O tenente Raymond Novak prefere o púlpito ao cockpit. O seu trabalho a treinar pilotos de B-17 permite-lhe ter uma vida pessoal... e dá-lhe uma desculpa conveniente para ignorar o seu maior medo. Quando a bela Helen conquista o seu coração, ele mostra-se decidido a merecê-la e a desposá- la. Ray e Helen veem-se então forçados a arriscar as suas reputações e as suas vidas; irão eles enfrentar e conquistar os desafios que têm pela frente? E poderá o seu jovem amor sobreviver até ao regresso da paz? Cheio de drama, coragem e romance, Nas Asas do Amanhã encerra de forma magistral a popular série «Asas de Glória».
",C:\Users\Joao\Calibre Library\Sarah Sundin\Nas Asas do Amanha (1716)\cover.jpg,9789897260438,2011-08-01T00:00:00+01:00,Quinta Essência,4,Wings of Glory,3.0,"Romance, Autores Estrangeiros",Nas Asas do Amanhã,1716
Sarah Sundin,"O major Jack Novak nunca recusou enfrentar um desafio - até que conhece a enfermeira tenente Ruth Doherty. Quando Jack vai parar ao hospital do exército depois da queda de um avião, decide que a sua missão prioritária é conquistar o coração de Ruth. Não será fácil. Não só Ruth está concentrada no seu trabalho para poder sustentar a família, como carrega um segredo vergonhoso que a impede de entregar o coração a qualquer homem. À medida que o perigo e a tensão da Segunda Guerra Mundial aumentam, Jack e Ruth irão precisar um do outro mais do que nunca. Conseguirá Jack transpor as defesas dela? Ou estarão destinados a seguir caminhos diferentes.
",C:\Users\Joao\Calibre Library\Sarah Sundin\Nas Asas Da Memoria - Asas De Glori (1717)\cover.jpg,9789897260285,2010-09-01T00:00:00+01:00,Leya,4,Wings of Glory,2.0,"Romance, Autores Estrangeiros",Nas Asas Da Memoria - Asas De Gloria - Livro 2,1717
Sarah Sundin,"Allie nunca foi suficientemente bonita para agradar à sua deslumbrante mãe, por isso fará qualquer coisa para ter a sua aprovação: até casar com um homem que não ama. Enquanto Allie quase se resigna ao seu destino, o tenente Walter Novak - destemido na cabina de pilotagem, mas sem jeito para as mulheres - vai a casa na sua última licença antes de ser enviado para a Europa, combater pela Royal Air Force durante a Segunda Guerra Mundial.  
Walt e Allie conhecem-se e o seu amor pela música junta-os, fazendo-os começar uma correspondência que mudará as suas vidas. Enquanto as cartas vão e vêm entre a base de bombardeiros de Walt, em Inglaterra, e a mansão de Allie, a amizade que cresce entre os dois une-os. Mas serão eles capazes de resolver os segredos, compromissos e expetativas que os separaram?
",C:\Users\Joao\Calibre Library\Sarah Sundin\Nas Asas Do Amor (1718)\cover.jpg,9789898228741,2010-03-01T00:00:00+00:00,QUINTA ESSENCIA,4,Wings of Glory,1.0,"Romance, Autores Estrangeiros",Nas Asas Do Amor,1718
Sarah Perry,"«A Serpent de Essex - o livro que bateu Harry Potter para vencer o prémio do livro do ano da Waterstones» Finalista do Costa Book Award 2016 Londres, 1893. Quando o marido de Cora Seaborne morre, a viúva inicia uma nova vida marcada ao mesmo tempo por alívio e tristeza. Não teve um casamento feliz e ela própria nunca se adequou ao papel de mulher da sociedade. Acompanhada pelo filho, Francis - um rapaz curioso e obsessivo -, troca a cidade pelo campo de Essex, onde espera que o ar fresco e os grandes espaços lhe proporcionem o refúgio de que necessita. Quando se instalam em Colchester, chegam-lhe aos ouvidos rumores de que a Serpente do Essex, conhecida por em tempos ter percorrido os pântanos na sua avidez de colher vidas humanas, regressou à aldeia de Aldwinter. Cora, naturalista amadora sem interesse por superstições ou questões religiosas, fica empolgada com a ideia de que aquilo que as pessoas da região tomam por uma criatura sobrenatural possa, na realidade, ser uma espécie ainda por descobrir. Quando decide iniciar a sua investigação é apresentada ao vigário de Aldwinter, William Ransome. Tal como Cora, Will sente uma desconfiança profunda em relação aos boatos, que considera um fenómeno de terror de caráter moral e um desvio da verdadeira fé. Enquanto Will procura tranquilizar os paroquianos, inicia-se entre ele e Cora uma relação intensa; apesar de os dois não concordarem a respeito de nada, são atraídos e afastados um do outro inexoravelmente, a ponto de isso modificar a vida de ambos de formas inesperadas. Escrito com uma delicadeza e uma inteligência cheias de requinte, este romance é sobretudo uma celebração do amor e das muitas formas que ele pode assumir.",C:\Users\Joao\Calibre Library\Sarah Perry\A Serpente do Essex (1719)\cover.jpg,9789898866035,2018-11-29T13:31:08+00:00,Leya,4,,1.0,"Literary, Fiction, Autores Estrangeiros",A Serpente do Essex,1719
Sarah Addison Allen,"Sarah Addison Allen dá-nos as boas-vindas a uma nova povoação: Walls of Water, na Carolina do Norte, onde os segredos são mais espessos do que o nevoeiro das famosas quedas-d'água da cidade, e as superstições são, de facto, reais. Willa Jackson vem de uma antiga família que ficou arruinada gerações antes. A mansão Blue Ridge Madam, construída pelo bisavô de Willa durante a época área de Walls of Water, e outrora a mais grandiosa casa da cidade, foi durante anos um monumento solitário à infelicidade e ao escândalo. Mas Willa soube há pouco que uma antiga colega de escola - a elegante Paxton Osgood - da abastada família Osgood, restaurou a Blue Ridge Madam e a devolveu à sua antiga glória, tencionando transformá-la numa elegante pousada. Talvez, por fim, o passado possa ser deixado para trás enquanto algo novo e maravilhoso se ergue das suas cinzas. Mas o que se ergue, afinal, é um esqueleto, encontrado sob o solitário pessegueiro da propriedade, que com certeza irá fazer surgir coisas terríveis. Pois os ossos, pertencentes ao carismático vendedor ambulante Tucker Devlin, que exerceu os seus encantos sombrios em Walls of Water setenta e cinco anos antes, não são tudo o que está escondido longe da vista e do coração. Surgem igualmente segredos há muito guardados, aparentemente anunciados por uma súbita onda de estranhos acontecimentos em toda a cidade.",C:\Users\Joao\Calibre Library\Sarah Addison Allen\A Arvore dos Segredos (1720)\cover.jpg,9789895557950,2012-02-28T12:16:59+00:00,Leya,4,,1.0,"Fiction, Contemporary, General, Autores Estrangeiros, Mystery, Romance, Fantasy",A Árvore dos Segredos,1720
Sarah Helm,"Numa manhã soalheira durante o mês de maio de 1939, um grupo de cerca de 800 mulheres foi conduzido em marcha forçada pelos bosques até um local a 90 quilómetros a norte de Berlim. Entre elas, podiam encontrar-se donas de casa, médicas, cantoras de ópera, prisioneiras políticas e prostitutas, O seu destino era Ravensbrück, um campo de concentração concebido só para mulheres por Heinrich Himmler, o líder da SS e principal arquiteto do genocídio nazi. Por lá passaram até ao final da Segunda Guerra Mundial mais de 130 mil mulheres. Eram provenientes de mais de 20 países europeu e foram sujeitas a formas brutais de tortura e extermínio. Durante décadas, a história de Ravensbrück permaneceu oculta atrás da Cortina de Ferro, e ainda hoje continua a ser pouco conhecida. Sarah Helm, num meticuloso trabalho de pesquisa e recolha de informação, até então perdida ou de difícil acesso, abre-nos finalmente as portas deste lugar sombrio. Mostra-nos testemunhos descobertos após a Guerra Fria e entrevistas com sobreviventes que nunca antes tinham partilhado a sua experiência. Em Se Isto é Uma Mulher, a autora dá-nos a conhecer, além dos horrores mais impensáveis praticados pelo regime nazi, vários exemplos notáveis da incrível tenacidade do espírito humano.",C:\Users\Joao\Calibre Library\Sarah Helm\Se Isto e Uma Mulher (1721)\cover.jpg,9789722357241,2015-10-27T13:29:55+00:00,Editorial Presença,4,,1.0,"War, Europe, History, General, Autores Estrangeiros",Se Isto é Uma Mulher,1721
Sandra Carvalho,"O momento de todas as decisões aproxima-se. Halvard, o Filho do Dragão, espera ansiosamente a chegada da Noite Branca para assimilar o Conhecimento Absoluto e tornar-se um deus na Terra. Quase todos os seus inimigos foram destruídos; apenas o rei Ivarr do povo viquingue, os Guardiães das Lágrimas do Sol e da Lua e os Sacerdotes dos Penhascos ainda resistem. Entretanto, a guerreira Kelda da Montanha Sagrada treinou com afinco sob a orientação do feiticeiro Sigarr e está pronta para se tornar mestra da Arte Obscura. Apesar de saber que a celebração desse ritual irá extinguir a luz da sua essência, ela persiste, pois acredita que só assim poderá deter o avanço sanguinário do irmão gémeo. Todavia, a revelação de que o seu destino é concretizar a profecia e não contrariá-la poderá abalar as suas convicções. Terá Kelda a determinação e a força necessárias para cumprir a missão que a Pedra do Tempo lhe atribuiu, enquanto chora a perda do amor do príncipe da Gente Bela? Ou, sobre o Altar do Mundo, cederá ela à tentação do poder e abrirá o seu coração às sombras da Noite Branca? Sombras da Noite Branca é o oitavo volume da série de culto Saga das Pedras Mágicas, que encerra mais um capítulo desta aventura fantástica e apaixonante.
",C:\Users\Joao\Calibre Library\Sandra Carvalho\SOMBRAS DA NOITE BRANCA_ A SAGA DAS (1722)\cover.jpg,9789722350549,2013-02-15T13:33:50+00:00,Ed. Presença,4,A Saga das Pedras Mágicas,8.0,Fantasy,SOMBRAS DA NOITE BRANCA: A SAGA DAS PEDRAS MÁGICAS - LIVRO VIII,1722
Sara Blaedel,"Numa floresta da Dinamarca, um guarda-florestal encontra o corpo de uma mulher. Marcada por uma cicatriz no rosto, a sua identificação deveria ser fácil, mas ninguém comunicou o seu desaparecimento e não existem registos acerca desta mulher.Passam-se quatro dias e a agente da polícia Louise Rick, chefe do Departamento de Pessoas Desaparecidas, continua sem qualquer pista. É então que decide publicar uma fotografia da misteriosa mulher. Os resultados não tardam. Agnete Eskildsen telefona para Louise afirmando reconhecer a mulher da fotografia, identificando-a como sendo Lisemette, uma das «raparigas esquecidas» de Eliselund, antiga instituição estatal para doentes mentais onde trabalhara anos antes.Mas, quando Louise consulta os arquivos de Eliselund, descobre segredos terríveis, e a investigação ganha contornos perturbadores à medida que novos crimes são cometidos na mesma floresta. Através de uma narrativa envolvente, vertiginosa e de forte impacto emocional, Sara Blædel não deixa o leitor descansar enquanto não chegar ao fim do livro. «Arrepiante! Um enredo fabuloso, pleno de personagens realistas!»Publishers Weekly
",C:\Users\Joao\Calibre Library\Sara Blaedel\As Raparigas Esquecidas (1723)\cover.jpg,9789898843074,2011-01-01T00:00:00+00:00,TopSeller,4,Louise Rick,7.0,"Mystery, Thriller",As Raparigas Esquecidas,1723
Sandra Carvalho,"A descoberta dos Açores, e todo o mistério e aventura que a envolveu, foi o mote para esta obra em dois volumes de Sandra Carvalho. É uma narrativa que entretece com mestria verdade histórica e ficção, a realidade da sociedade portuguesa do século XV e a fantasia das personagens e dos cenários imaginados pela autora. Neste primeiro volume, que se centra nas histórias de vida dos fidalgos, ganham principal relevância as figuras de Constance, uma nobre inglesa enviada para Portugal para se casar com Gonçalves Vaz, senhor da valiosa herdade de Águas Santas; Nuno Garcia, um corsário implacável; Leonor, fruto ilegítimo da paixão de Constance e de Diogo, o jovem corajoso, protegido de Nuno Garcia e que Constance conhece durante a viagem, Guida, a escrava negra que cresceu com Leonor, e Tomás Rebelo, o fidalgo malévolo que deseja assenhorear-se de Águas Santas. Intriga, ganância, amor, paixão, e uma aura de misticismo, num romance extraordinário.
",C:\Users\Joao\Calibre Library\Sandra Carvalho\O Olhar do Acor (1724)\cover.jpg,9789722353212,2014-06-03T00:00:00+01:00,Editorial Presença,4,Crónicas da Terra e do Mar,1.0,"Fantasy, Romance, Ficção portuguesa - Romance e Aventura",O Olhar do Açor,1724
Sandra Carvalho,"Após a cruenta batalha que reduziu a Ilha dos Sonhos a cinzas, Kelda, filha do Rei da Lua e da Rainha do Sol, assume-se como Sacerdotisa dos Penhascos, a fim de salvar o seu povo do ferro e do fogo dos inimigos. Durante a longa viagem que a levará à Terra das Montanhas de Areia, a jovem guerreira, eleita decisora pela Pedra do Tempo, interroga-se se irá encontrar Halvard, o seu irmão gémeo, marcado pelo destino para concretizar a profecia do Filho do Dragão. Kelda acalenta a esperança de que ainda será possível desviá-lo do trilho da perdição. Contudo, antes terá de combater Deimos, o rei do Povo do Fogo, assim como Sigarr, o terrível feiticeiro que raptou Halvard quando este era criança.
",C:\Users\Joao\Calibre Library\Sandra Carvalho\O Filho do Dragao (1725)\cover.jpg,9789722348188,2012-04-17T00:00:00+01:00,Editorial Presença,4,A Saga das Pedras Mágicas,7.0,Fantasy,O Filho do Dragão,1725
Sandra Carvalho,"Os piratas do Rouxinol veem-se cada vez mais longe de conquistar o ouro da galé castelhana Niña del Mar devido aos estragos causados pela violenta tempestade que se abateu sobre o barinel. A descoberta da identidade de Leonor faz com que Corvo queira regressar de imediato aos Açores, para entregá-la à guarda do pai. Porém, a tripulação discorda e a caos instala-se a bordo. O que Leonor mais deseja é lutar ao lado dos companheiros e recuperar a confiança de Corvo. No entanto, Tomás Rebelo continua a precisar dela para alcançar o propósito funesto que o levou a assenhorear-se de Águas Santas. Conseguirá Leonor chegar incólume à misteriosa ilha das Flores, conhecer o Açor e abraçar a irmã, ou acabará abandonada por Corvo, à mercê dos caprichos do abominável Tomás Rebelo? O Grito do Corvo é o terceiro volume da trilogia Crónicas da Terra e do Mar.",C:\Users\Joao\Calibre Library\Sandra Carvalho\O Grito do Corvo (1726)\cover.jpg,9789722361385,2017-11-20T12:51:12+00:00,Editorial Presença,4,Crónicas da Terra e do Mar,3.0,"Fiction, Historical, Fantasy, Autores Portugueses",O Grito do Corvo,1726
"Sandra, Carvalho","Depois de A Ultima Feiticeira, o primeiro volume de uma fantasia epica, Sandra Carvalho publica dois meses depois o livro que se segue, O Guerreiro Lobo. Esta autora estreante na literatura desde cedo se entretem a contar historias aos seus amigos e inevitavelmente ao seu circulo familiar. Incentivada a mostrar o seu trabalho e aos 33 anos que o seu caminho se ilumina, rumo a uma carreira bem sucedida. Recuperando algumas personagens do inicio da saga voltamos a encontrar Sigarr, um feiticeiro de ma indole que afinal subsistiu no mundo, apesar de aparentemente ter sido vencido, Throst, guerreiro viking, filho de Thorgrim e Catelyn, neta da feiticeira Aranwen, que mais uma vez e a protagonista. Cat anseia encontrar a solucao para os enigmas que a atormentam, assim como a identidade do Ser Superior que ira orienta-la no treino da magia. Contudo, a sua mente e transportada numa viagem inesperada., enfrentando a mais dificil das decisoes: devera regressar a grande Ilha, impedir a hedionda feiticeira Gwendalin de libertar o poder contido nas sete pedras magicas, e salvar o seu povo, ou devera permanecer na Terra Antiga, livrar o Guerreiro-Lobo da maldicao que o condena a morte e ajuda-lo na sua missao de paz?","C:\Users\Joao\Calibre Library\Sandra, Carvalho\O GUERREIRO - LOBO - SAGA DAS PEDRA (1727)\cover.jpg",9789722349529,2012-11-13T12:51:38+00:00,Editorial Presença,4,A Saga das Pedras Mágicas,2.0,"Fiction, General, Fantasy, Young Adult, Romance",O GUERREIRO - LOBO - SAGA DAS PEDRAS MAG,1727
Sandra Carvalho,"Neste terceiro volume de 'A saga das pedras mágicas' a acção e a magia continuam empolgantes. No reino dos vândalos, a Rainha Aesa chama Helgi à sua presença. Decidira incumbi-lo de uma missão; apoderar-se das pedras mágicas que estavam em poder dos Viquingues, os seus inimigos. No reino dos Viquingues, as filhas de Throst e de Catelyn Edwina, Thora e Freya preparam-se para seguir destinos diferentes. As capacidades mágicas de Edwina fazem dela detentora da Lágrima do Sol, permitindo-lhe entrar na mente dos outros, presenciar acontecimentos que se passam à distância e passar energia aos que se encontram fracos. Recursos que irá utilizar para resgatar Edwin, o rapaz que em criança foi roubado e aprisionado pelos Vândalos e que tem consigo a Lágrima da Lua. Uma fantasia impressionante, de grande qualidade e muita acção.",C:\Users\Joao\Calibre Library\Sandra Carvalho\Lagrimas do sol e da lua_ a saga da (1728)\cover.jpg,9789722336482,2006-02-15T13:02:12+00:00,Editorial Presenca,4,A Saga das Pedras Mágicas,3.0,"Romance, Fantasy",Lágrimas do sol e da lua: a saga das pedras mágicas,1728
Sandra Carvalho,"Forçadas a fugir de Águas Santas para escapar à fúria de Tomás Rebelo, Leonor e Guida chegam ao porto de Lisboa e confrontam-se com Corvo, o famoso pirata sobre o qual se contam tantas lendas. Horrorizada com a descoberta de que é filha de Diogo, o Açor, Leonor decide disfarçar-se de rapaz quando Corvo a obriga a embarcar no seu navio, protegendo-se assim dos impulsos masculinos. Inconformada com o seu destino, Leonor resolve fazer tudo para escapar aos piratas. Porém, com o passar do tempo, sente a herança do Açor a despertar dentro dela. O segredo que ensombra o passado de Corvo começa a inflamar a sua curiosidade, enquanto estabelece amizade com os homens que tanto temia. Conseguirá ela regressar a Águas Santas e desmascarar a perversidade de Tomás Rebelo, ou o apelo da liberdade e da aventura, conjugado com a vontade de conhecer o seu verdadeiro pai, tornar-se-á irresistível? Filhos do Vento e do Mar é o segundo volume da trilogia Crónicas da Terra e do Mar, de Sandra Carvalho.",C:\Users\Joao\Calibre Library\Sandra Carvalho\Filhos do Vento e do Mar (1729)\cover.jpg,9789722360791,2017-07-07T13:46:31+01:00,Editorial Presença,4,Crónicas da Terra e do Mar,2.0,"Ficção portuguesa - Romance e Aventura, Fiction, Sagas, Fantasy",Filhos do Vento e do Mar,1729
Sandra Carvalho,"O fantástico épico está novamente de parabéns com mais um estreia literária de uma autora portuguesa que a Presença propõe ao seu público. Em ""A Saga das Pedras Mágicas"" os heróis, diz-nos Sandra Carvalho, têm uma profunda ligação à Natureza e aos Elementos, são apaixonados pela Vida e inteiramente determinados na sua coragem. A acção passa-se num tempo em que os sábios Druidas se recolhiam nas florestas para perpetuarem o Conhecimento que em eras passadas lhes fora transmitido pelos Seres Mágicos. O berço da heroína desta história, Catelyn, e dos seus cinco irmãos varões, situa-se na Grande Ilha, cada vez mais fustigada pelos ataques dos Viquingues. Os senhores locais formaram uma Aliança para os repelirem, consolidando essa política através de casamentos combinados entre os herdeiros das grandes famílias. Depois de uma infância paradisíaca, Catelyn cresce num mundo cada vez mais violento, assistindo impotente às manipulações da maldosa Myrna, a protegida do homem com quem o pai de Catelyn destinou casá-la.
",C:\Users\Joao\Calibre Library\Sandra Carvalho\A Ultima Feiticeira (1730)\cover.jpg,9789722333450,2005-04-13T00:00:00+01:00,Editorial Presença,4,A Saga das Pedras Mágicas,1.0,"Fantasy, Romance",A Última Feiticeira,1730
"Sandra, Carvalho","Os Guardiaes das Lagrimas do Sol e da Lua vivem finalmente em plena uniao. Dos seus amores nasceram Halvard e Kelda, os gemeos sobre quem pairam profecias grandiosas e temiveis. Halvard esta nas maos de Sigarr, o Mestre da Arte Obscura, que espera treina-lo para ser o Guardiao do Conhecimento Absoluto, e usar o imenso poder deste em seu proveito. Kelda, luta por cumprir os designios da Pedra do Tempo e salvar a sua propria alma, resgatar Halvard e levar a cabo a missao que herdou da sua avo Catelyn. Este e o sexto volume de uma das series fantasticas mais acarinhadas pelos leitores portugueses, A Saga das Pedras Magicas.","C:\Users\Joao\Calibre Library\Sandra, Carvalho\A SACERDOTISA DOS PENHASCOS - SAGA (1731)\cover.jpg",9789722349390,2012-10-23T14:28:48+01:00,Editorial Presença,4,A Saga das Pedras Mágicas,6.0,"Fiction, Fantasy, Autores Portugueses, General",A SACERDOTISA DOS PENHASCOS - SAGA DAS P,1731
